"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-04-07",72462600,7077400,16807200,108488000,30762800,37559600,5335900,12053000,8681300,47770200
"2014-04-08",60972100,6577600,18810300,78836000,29787200,35918600,3680200,14514500,7116200,35486100
"2014-04-09",51542400,5056600,10892500,100215000,24588700,27398700,2930200,14330700,6356500,21651200
"2014-04-10",59913000,6126700,29285300,114988000,33835000,45960800,3553000,10720900,7874300,34024900
"2014-04-11",67929400,7287500,12733000,91452000,29643000,34330200,4306600,9999700,6575600,28040700
"2014-04-14",51418500,4293500,12009500,72325000,15865100,32006600,2570600,10414200,4571400,26322600
"2014-04-15",66622500,5398600,10699200,108623000,17832900,33968700,4399900,24285100,7158900,50600400
"2014-04-16",53691400,4284900,7244300,78774000,10873700,30615800,2302100,13919600,5940700,61599100
"2014-04-17",71083600,4299200,7514100,88040000,16803700,36689400,4588000,12304400,4200300,28932700
"2014-04-21",45637200,2999400,5983300,60364000,9647300,22221200,6841800,6921200,4235900,16685400
"2014-04-22",50640800,3711600,7460100,60631000,10935200,27056700,9243200,6996900,4091900,17915200
"2014-04-23",98735000,3604600,6611500,96565000,8431600,24602800,5755000,7340200,4971400,19051700
"2014-04-24",189977900,9293700,7691000,138769000,13228900,42381600,4377000,11011700,5891800,17242300
"2014-04-25",97568800,16180200,9638700,92502000,11741500,56876800,4724500,13712400,6991500,19401600
"2014-04-28",167371400,14479800,9724600,107758000,11675700,50610200,6731900,14358900,10971600,31019200
"2014-04-29",84344400,6509300,13908800,75557000,12932100,29636200,3304700,28127700,7810600,28736000
"2014-04-30",114160200,4088600,32515900,76093000,17124300,35458700,3374100,38397900,13784000,23341500
"2014-05-01",61012000,4328600,12793500,82429000,15890900,28787400,5285900,15759800,22419300,19474700
"2014-05-02",47878600,3995100,12210600,54189000,13236900,43416600,3742100,12729500,9532500,22454100
"2014-05-05",71766800,2519900,10896600,46057000,20826600,22460900,2904400,10405200,8915800,13129100
"2014-05-06",93641100,4682300,14641700,55901000,28018200,27112400,3246100,134710000,13888800,19156000
"2014-05-07",70716100,7015200,19840100,78587000,71307900,41744500,3668700,68876300,10975000,66062700
"2014-05-08",57574300,3848200,13043200,61251000,30584500,32120400,3024100,51282800,9051600,30407700
"2014-05-09",72899400,4063000,14188600,52584000,40314500,29647600,2566900,31888800,6376000,20303400
"2014-05-12",53302200,3729600,12768700,48575000,17064900,22782600,3056500,34712700,6586200,22520600
